Level1,Level2,Level3,Content
N島,おまじないの方法がわからない,ヒント①,「かさ→さかな」「らっこ→こうら」「るびー→でびる」「つき→たきつぼ」のように、2文字共通するイラストにつなげていこう。
N島,おまじないの方法がわからない,ヒント②,「さかな→せなか」「こうら→うろこ」「でびる→もでる」「たきつぼ→うつぼ」と続けよう。
N島,おまじないの方法がわからない,ヒント③,「せなか→なんせい」「うろこ→ろうそく」「もでる→うでずもう」「うつぼ→まんぼう」で終わりだ。<br>カードを乗せたら、おまじないの方法③を行おう。
N島,おまじないの方法がわからない,ヒント④,「かさ→さかな→せなか→なんせい」の裏は「あお→いい→し」なので「青い石」と読める。<br>他の人魚の欲しいものも同様に導こう。
N島,おまじないの方法がわからない,答え,人魚たちが欲しいものは、それぞれ「青い石」「きれいな花」「1つしかない色」「ペンダント」だ。
N島,人魚にあげるアクセサリーがわからない,ヒント①,今ある4つのアクセサリーのうち、「青い石」があるのは「サファイアのブレスレット」だけだ。
N島,人魚にあげるアクセサリーがわからない,ヒント②,「きれいな花」があるのは「アジサイのイヤリング」だけだ。
N島,人魚にあげるアクセサリーがわからない,ヒント③,「ペンダント」は「ルビーのペンダント」だけだ。残った「エメラルドのチャーム」を「1つしかない色」が欲しい人魚にあげよう。確かに、緑の宝石はこれしかないから条件を満たす。
N島,謎の紙片が解けない,ヒント,人魚に渡すアクセサリーの名前から、指定された文字を拾おう。例えば、一番左は「サファイアのブレスレット」の8文字目の「レ」が入る。
N島,謎の紙片が解けない,答え,「サファイアのブレスレット」の8文字目、「アジサイのイヤリング」の2文字目、「エメラルドのチャーム」の8文字目、「ルビーのペンダント」の3文字目を順に読んで、答えは「レジャー」だ。
N島,謎を解いたあとのヒント,おまじないのヒント①,1回目のおまじないで使っていないカードは「まーめいど」「てんし」「じゅえる」「しんじゅ」「えめらるど」の5枚。まずは①の指示通り「まーめいど」を机に置き、②を行おう。
N島,謎を解いたあとのヒント,おまじないのヒント②,「まーめいど」の次は「め・ど」を含むイラストだ。
N島,謎を解いたあとのヒント,おまじないのヒント③,「えめらるど」の次は「え・る」を含むイラストだ。
N島,謎を解いたあとのヒント,おまじないのヒント④,「じゅえる」の次は「じ・ゅ」を含むイラストだ。
N島,謎を解いたあとのヒント,おまじないの答え,「まーめいど→えめらるど→じゅえる→しんじゅ→てんし」の順に置いて裏返すと、「くびかざり」が欲しいものだと分かる。
N島,謎を解いたあとのヒント,あげるアクセサリーのヒント,うたは「首からかけられるもの」ならなんでもよいと言っている。それなら、誰かが今まさに首にかけているものが使えそうだ。
N島,謎を解いたあとのヒント,あげるアクセサリーの答え,あなたが今首にかけているチームパスが使えそうだ。実際に「よく調べる」ために、中を開けてみよう。
N島,謎を解いたあとのヒント,謎の紙片のヒント,見つかった紙片は、「レジャー」という答えを導いた謎の左端にぴったり合う。つまり、5人目の人魚にあげたアクセサリーの1文字目を、「レジャー」の前につけたものが本当の答えだ。
N島,謎を解いたあとのヒント,謎の紙片の答え,「トルマリンのネックレス」の「ト」をつけた、「トレジャー」が本当の答えだ。
E島,6問の謎のヒント,Q1のヒント,「蒸し器」「トリック」を「無視き（“き”を無視する）」「取りっく（“っく”を取る）」と解釈すれば、「ぷきっりくっん」を「ぷりん」に変換できる。<br>「ナイフ」「ボトル」「リットル」がどの文字を消すのか考え、右の文字列も同様に変換しよう。
E島,6問の謎のヒント,Q1の答え,「ナイフ」「ボトル」「リットル」を「無い”ふ”」「”ぼ”取る」「”りっ”取る」と解釈すると、右の文字列は「ちゃわんむし」と変換できる。
E島,6問の謎のヒント,Q2のヒント,はるてぃーとそろもんのメンバーカラーに注目しよう。「日」とつながるのはローマ字、「英」とつながるのは英語表記の言葉だ。
E島,6問の謎のヒント,Q2の答え, 2人のメンバーカラー「赤」「黄」をローマ字・英語のそれぞれで埋めると「AKA・RED」「KI・YELLOW」となり、元から埋まっている文字と合う。<br>枠の見た目に合わせて文字を当てはめると、答えは「IKEDORI（いけどり）」だ。
E島,6問の謎のヒント,Q3のヒント,線でつながれたマスに同じ文字が入るように、言葉を完成させよう。一番下が果物になるように、3番目に入る言葉をうまく考えよう。
E島,6問の謎のヒント,Q3の答え,上から「シュークリーム」「シュガー」「ヨウガシ」が入る。一番下に入る「ヨウナシ」が答えだ。
E島,6問の謎のヒント,Q4のヒント,1番上は「かさ」、その下は「きのこ」のイラストだ。左の丸にイラストの名前を書き込んで、矢印の法則を考えよう。
E島,6問の謎のヒント,Q4の答え,矢印には「あいうえお順で1つ進める」法則がある。一番下に当てはまる「あくぬき」が答えだ。
E島,6問の謎のヒント,Q5のヒント,下に線が引かれた3つの文章には共通する特徴がある。「このきのこ」「やさしいおいしさや」の他に「まさかさかさま」などにも成り立つ特徴だ。
E島,6問の謎のヒント,Q5の答え,下に線が引かれた文章は全て逆から読んでも同じ文章になる。？？？？に「まかない」と埋めると、3つ目の文章もこの特徴に当てはまる。
E島,6問の謎のヒント,Q6のヒント,「お腹がすいた」木の子と「のどが渇いた」木の子を右のように満足させるには、「食べもの」と「飲みもの」をあげればよい。赤いマスに合うように、それぞれの言葉を言いかえよう。
E島,6問の謎のヒント,Q6の答え,それぞれ「フード」と「ドリンク」と言いかえられる。１＝フ、２＝ト、３＝リ、となるので、答えの「２３ュ１」は「トリュフ」となる。
E島,合言葉の導き方がわからない,ヒント①,6つの答えは「ちゃわんむし」「いけどり」「ようなし」「あくぬき」「まかない」「とりゅふ」だ。これらを使い、上に書かれた文字を消していこう。<br>文字の消し方は、プリンが描かれた謎を参考にしよう。
E島,合言葉の導き方がわからない,ヒント②,"6つの答えはそれぞれ以下のように解釈できる。「""ちゃわん""無視」「""いけ""取り」「""よう""無し」「""あく""抜き」「""まか""無い」「取り""ゅふ""」
E島,合言葉の導き方がわからない,答え,文字を正しく消すと、「こたえはむしどり」が残る。"
E島,危険なレシピのヒント,ヒント①,まずは枠にQ1〜Q6の答えを横書きで埋めよう。すると、太枠内には「むどしくいり」という文字列が埋まる。<br>この文字列を、「MISSION1の合言葉」である「むしどり」で変換しよう。
E島,危険なレシピのヒント,ヒント②,"「むしどり」を「無視“どり""」と解釈すれば、「どり」を「無視」する法則だと考えられる。「むどしくいり」の文字から、「どり」を無視しよう。"
E島,答えを送信した後のヒント,ヒント①,どうやら「むしくい（虫食い）」という答えは合っているが、まだ何か足りないようだ。もう一度、「むどしくいり」を「むしどり」で変換する段階に戻って考えよう。
E島,答えを送信した後のヒント,ヒント②,"「むしどり」の「無視“どり""」ではない解釈を考えよう。「いけどり」のときはどんな法則で考えたか思い出そう。"
E島,答えを送信した後のヒント,答え,「むしどり」を「“むし”取り」と解釈すると、「むし」を「取る」法則だと考えられる。<br>「むどしくいり」の文字から「むし」を取ると、もう一つの答え「どくいり（毒入り）」が導ける。
